时间顺序排序	地区	正式指标	正式数值	正式单位
2016年6月	中国	汽车产量同比增长	8.1	%
2016年7月	中国	汽车产量同比增长	25.4	%
2016年8月	中国	汽车产量同比增长	24.7	%
2016年9月	中国	汽车产量同比增长	31.5	%
2015年10月	中国	客运汽车产量同比增长	-14.9	%
2015年3月	中国	客运汽车产量同比增长	-8.6	%
2015年4月	中国	客运汽车产量同比增长	-13	%
2015年5月	中国	客运汽车产量同比增长	-7.4	%
2015年6月	中国	客运汽车产量同比增长	-15.4	%
2015年7月	中国	客运汽车产量同比增长	-22.2	%
2015年8月	中国	客运汽车产量同比增长	-17.9	%
2015年9月	中国	客运汽车产量同比增长	-14.5	%
2015年10月	中国	载货汽车产量同比增长	-3.9	%
2015年11月	中国	载货汽车产量同比增长	-10.5	%
2015年12月	中国	载货汽车产量同比增长	-8.8	%
2015年3月	中国	载货汽车产量同比增长	-23.3	%
2015年4月	中国	载货汽车产量同比增长	-20.7	%
2015年5月	中国	载货汽车产量同比增长	-11.9	%
2015年6月	中国	载货汽车产量同比增长	-1.9	%
2015年7月	中国	载货汽车产量同比增长	-13.6	%
2015年8月	中国	载货汽车产量同比增长	-2.2	%
2015年9月	中国	载货汽车产量同比增长	-4.9	%
2016年3月	中国	载货汽车产量同比增长	6	%
2016年4月	中国	载货汽车产量同比增长	3	%
2016年5月	中国	载货汽车产量同比增长	3.8	%
2016年6月	中国	载货汽车产量同比增长	9.2	%
2016年7月	中国	载货汽车产量同比增长	14.5	%
2016年8月	中国	载货汽车产量同比增长	22	%
2016年9月	中国	载货汽车产量同比增长	16.7	%
2015年10月	中国	改装汽车产量同比增长	3	%
2015年3月	中国	改装汽车产量同比增长	-10.8	%
2015年4月	中国	改装汽车产量同比增长	-17.2	%
2015年5月	中国	改装汽车产量同比增长	-13.2	%
2015年6月	中国	改装汽车产量同比增长	-8.8	%
2015年7月	中国	改装汽车产量同比增长	-3.7	%
2015年8月	中国	改装汽车产量同比增长	-7	%
2015年9月	中国	改装汽车产量同比增长	0.7144204	%
2015年10月	中国	锂离子电池产量同比增长	-3.4	%
2015年11月	中国	锂离子电池产量同比增长	11	%
2015年12月	中国	锂离子电池产量同比增长	20.1	%
2015年3月	中国	锂离子电池产量同比增长	-0.3	%
2015年4月	中国	锂离子电池产量同比增长	12.1	%
2015年5月	中国	锂离子电池产量同比增长	5.1	%
2015年6月	中国	锂离子电池产量同比增长	1.7	%
2015年7月	中国	锂离子电池产量同比增长	4.3	%
2015年8月	中国	锂离子电池产量同比增长	6.7	%
2015年9月	中国	锂离子电池产量同比增长	1.7	%
2016年3月	中国	锂离子电池产量同比增长	18.2	%
2016年4月	中国	锂离子电池产量同比增长	11.1	%
2016年5月	中国	锂离子电池产量同比增长	23.1	%
2016年6月	中国	锂离子电池产量同比增长	23.6	%
2016年7月	中国	锂离子电池产量同比增长	35.4	%
2016年8月	中国	锂离子电池产量同比增长	45.2	%
2016年9月	中国	锂离子电池产量同比增长	50.5	%
