地区	正式指标	正式数值
重庆市	细颗粒物（PM2.5）年平均浓度	56.62
重庆市	空气质量达到及好于二级的天数	292
成都市	二氧化硫年平均浓度	14.07
成都市	二氧化氮年平均浓度	53.15
成都市	可吸入颗粒物（PM10）年平均浓度	107.5
成都市	一氧化碳日均值第95百分位浓度	2
成都市	臭氧（O3）日最大8小时第90百分位浓度	183
成都市	细颗粒物（PM2.5）年平均浓度	64.23
成都市	空气质量达到及好于二级的天数	211
贵阳市	二氧化硫年平均浓度	17.02
贵阳市	二氧化氮年平均浓度	28.48
贵阳市	可吸入颗粒物（PM10）年平均浓度	60.9
贵阳市	一氧化碳日均值第95百分位浓度	1.1
贵阳市	臭氧（O3）日最大8小时第90百分位浓度	119.6
贵阳市	细颗粒物（PM2.5）年平均浓度	39.3
贵阳市	空气质量达到及好于二级的天数	340
昆明市	二氧化硫年平均浓度	17.44
昆明市	二氧化氮年平均浓度	30.1
昆明市	可吸入颗粒物（PM10）年平均浓度	56.01
昆明市	一氧化碳日均值第95百分位浓度	1.4
昆明市	臭氧（O3）日最大8小时第90百分位浓度	110
昆明市	细颗粒物（PM2.5）年平均浓度	29.99
昆明市	空气质量达到及好于二级的天数	350
拉萨市	二氧化硫年平均浓度	9.58
拉萨市	二氧化氮年平均浓度	20.62
拉萨市	可吸入颗粒物（PM10）年平均浓度	58.76
拉萨市	一氧化碳日均值第95百分位浓度	1.1
拉萨市	臭氧（O3）日最大8小时第90百分位浓度	142
拉萨市	细颗粒物（PM2.5）年平均浓度	26.29
拉萨市	空气质量达到及好于二级的天数	313
西安市	二氧化硫年平均浓度	23.98
西安市	二氧化氮年平均浓度	44.22
西安市	可吸入颗粒物（PM10）年平均浓度	126.32
西安市	一氧化碳日均值第95百分位浓度	3.4
西安市	臭氧（O3）日最大8小时第90百分位浓度	145
西安市	细颗粒物（PM2.5）年平均浓度	58.2
西安市	空气质量达到及好于二级的天数	250
兰州市	二氧化硫年平均浓度	22.67
兰州市	二氧化氮年平均浓度	52.77
兰州市	可吸入颗粒物（PM10）年平均浓度	119.7
兰州市	一氧化碳日均值第95百分位浓度	3.1
兰州市	臭氧（O3）日最大8小时第90百分位浓度	132
兰州市	细颗粒物（PM2.5）年平均浓度	51.71
兰州市	空气质量达到及好于二级的天数	252
西宁市	二氧化硫年平均浓度	30.66
西宁市	二氧化氮年平均浓度	38.36
西宁市	可吸入颗粒物（PM10）年平均浓度	105.82
西宁市	一氧化碳日均值第95百分位浓度	2.8
西宁市	臭氧（O3）日最大8小时第90百分位浓度	126
西宁市	细颗粒物（PM2.5）年平均浓度	48.84
西宁市	空气质量达到及好于二级的天数	295
银川市	二氧化硫年平均浓度	64.44
银川市	二氧化氮年平均浓度	38.51
银川市	可吸入颗粒物（PM10）年平均浓度	112.37
银川市	一氧化碳日均值第95百分位浓度	2.5
银川市	臭氧（O3）日最大8小时第90百分位浓度	125
银川市	细颗粒物（PM2.5）年平均浓度	50.81
银川市	空气质量达到及好于二级的天数	259
乌鲁木齐市	二氧化硫年平均浓度	15
乌鲁木齐市	二氧化氮年平均浓度	51.52
乌鲁木齐市	可吸入颗粒物（PM10）年平均浓度	133.1
乌鲁木齐市	一氧化碳日均值第95百分位浓度	3.6
乌鲁木齐市	臭氧（O3）日最大8小时第90百分位浓度	122
乌鲁木齐市	细颗粒物（PM2.5）年平均浓度	66.01
乌鲁木齐市	空气质量达到及好于二级的天数	218
